ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-01-28 00:00:00+00:00,35,1,5602,4964.0,4964.0,4957.75,4960.0,84,ES.c.1
2024-01-29 00:00:00+00:00,35,1,5602,4961.0,5012.0,4960.5,5008.25,718,ES.c.1
2024-01-30 00:00:00+00:00,35,1,5602,5006.75,5013.0,4984.25,4986.75,2193,ES.c.1
2024-01-31 00:00:00+00:00,35,1,5602,4989.0,4992.75,4921.0,4931.75,3909,ES.c.1
2024-02-01 00:00:00+00:00,35,1,5602,4932.0,5019.0,4929.0,5010.0,3342,ES.c.1
2024-02-02 00:00:00+00:00,35,1,5602,5008.75,5054.25,4983.0,5031.0,1363,ES.c.1
2024-02-04 00:00:00+00:00,35,1,5602,5032.0,5037.25,5030.5,5033.25,39,ES.c.1
2024-02-05 00:00:00+00:00,35,1,5602,5030.0,5036.0,4995.0,5015.75,1614,ES.c.1
2024-02-06 00:00:00+00:00,35,1,5602,5017.0,5035.0,5011.5,5029.5,842,ES.c.1
2024-02-07 00:00:00+00:00,35,1,5602,5029.0,5077.25,5027.75,5071.0,1947,ES.c.1
